ID,Joke
1,Chuck Norris uses ribbed condoms inside out so he gets the pleasure.
2,MacGyver can build an airplane out of gum and paper clips. Chuck Norris can kill him and take it.
3,Chuck Norris doesn't read books. He stares them down until he gets the information he wants.
4,If you ask Chuck Norris what time it is he always answers &quot;Two seconds till&quot;. After you ask &quot;Two seconds to what?&quot; he roundhouse kicks you in the face.
5,Chuck Norris lost his virginity before his dad did.
6,Since 1940 the year Chuck Norris was born roundhouse kick related deaths have increased 13000 percent.
12,Chuck Norris sheds his skin twice a year.
13,Chuck Norris once challenged Lance Armstrong in a &quot;Who has more testicles?&quot; contest. Chuck Norris won by 5.
14,There are no steroids in baseball. Just players Chuck Norris has breathed on.
15,When Chuck Norris goes to donate blood he declines the syringe and instead requests a hand gun and a bucket.
